,Name,FM,Census Tracts,Population,Land area (km2),Density (people/km2),% Change in Population since 2001,Average Income,Transit Commuting %,% Renters,Second most common language (after English) by name,Second most common language (after English) by percentage
163,Westminster,NY,"['0317.02, 0317.03, 0317.04']","16,386",2.37,6914,0.8,"27,826",14.6,23.4,Russian (31.4%),31.4% Russian
164,Westmount,E,['0240.02'],"5,857",1.04,5932,5.0,"35,183",9.6,23.4,Ukrainian (10.6%),10.6% Ukrainian
165,Weston,Y,"['0175.01, 0175.02, 0176.00']","16,476",2.51,6564,-5.6,"27,446",15.5,26.5,Spanish (7.0%),07.0% Spanish
166,Wexford,S,"['0349.00, 0350.00, 0371.00']","17,844",7.97,2239,-3.2,"28,556",14.0,15.1,Filipino (4.5%),04.5% Filipino
167,Willowdale,NY,"['0300.00, 0306.01, 0306.02, 0307.02, 0308.01, 0308.02']","43,144",7.68,5618,62.3,"39,895",15.6,12.9,Cantonese (7.9%),07.9% Cantonese
168,Wilson Heights,NY,"['0288.00, 0297.02']","13,732",4.14,3317,1.9,"37,978",15.9,18.0,Filipino (6.2%),06.2% Filipino
169,Woburn,S,"['0356.00, 0357.01, 0357.02, 0363.07, 0364.01, 0364.02, 0365.00, 0366.00, 0367.01']","48,507",13.34,3636,-1.5,"26,190",13.3,16.0,Gujarati (9.1%),09.1% Gujarati
170,Wychwood,OCoT,['0116.00'],"4,182",0.68,6150,-2.0,"53,613",17.1,20.1,Portuguese (2.7%),02.7% Portuguese
171,York Mills,NY,"['0273.01, 0273.02, 0274.01, 0274.02']","17,564",7.29,2409,2.0,"92,099",10.0,11.8,Korean (4.0%),04.0% Korean
172,York University Heights,NY,"['0311.02, 0311.03, 0311.04, 0311.05, 0311.06']","26,140",13.21,1979,-1.2,"24,432",15.2,20.4,Italian (6.6%),06.6% Italian
173,Yorkville,OCoT,"['0088.00, 0089.00']","6,045",0.56,"10,795",62.6,"105,239",18.3,27.9,French (1.9%),01.9% French
